Id,Date,Open,High,Low,Close,Volume
374,7/6/2015,79.61,80.22,79.5,80.05,6601218
375,7/7/2015,80.06,81.83,80.06,81.72,11690399
376,7/8/2015,81.21,81.69,80.89,80.99,6724685
377,7/9/2015,81.75,82,80.52,80.66,10419811
378,7/10/2015,81.23,81.36,80.76,80.95,6892498
379,7/13/2015,81.52,82.04,81.34,81.91,7332927
380,7/14/2015,82.04,82.46,81.98,82.04,6119504
381,7/15/2015,81.91,82.32,81.84,82.15,6673662
382,7/16/2015,82.45,82.55,82.1,82.3,6623418
383,7/17/2015,81.89,82.38,81.6,82.24,5827266
384,7/20/2015,82.09,82.35,82,82.19,5012932
385,7/21/2015,82.01,82.13,81.37,81.63,7512386
386,7/22/2015,81.03,81.3,80.67,80.83,6106378
387,7/23/2015,80.83,80.89,80.14,80.7,5380856
388,7/24/2015,80.51,80.73,80.23,80.29,5660786
389,7/27/2015,79.83,80.07,79.42,79.97,8613558
390,7/28/2015,80.14,80.66,79.91,80.23,8649935
391,7/29/2015,80.26,80.99,80.16,80.62,8921525
392,7/30/2015,79.4,79.48,77.15,77.39,22067809
393,7/31/2015,77.63,77.74,76.66,76.7,11877236
394,8/3/2015,76.51,77.09,76.01,76.4,9511261
395,8/4/2015,76.03,76.34,75.75,75.91,13369071
396,8/5/2015,76.05,76.54,75.75,75.77,10895393
397,8/6/2015,76.01,76.01,75.25,75.74,9353287
398,8/7/2015,75.59,75.72,75.34,75.48,10045380
399,8/10/2015,75.95,76.5,75.8,76.38,9165893
400,8/11/2015,76.04,76.45,75.81,76.22,7491871
401,8/12/2015,75.89,76.43,75.34,76.39,10484495
402,8/13/2015,76.49,76.51,75.63,75.78,5948007
403,8/14/2015,75.74,75.81,75.38,75.62,5586878
404,8/17/2015,75.81,75.81,74.75,75.53,8683913
405,8/18/2015,75.58,75.8,75,75.13,7445886
406,8/19/2015,74.93,74.93,74.02,74.12,9865255
407,8/20/2015,73.75,74.72,73.46,73.91,10687908
408,8/21/2015,73.55,73.9,71.83,71.84,15349553
409,8/24/2015,68.57,71.07,65.02,69.14,23485324
410,8/25/2015,72.18,72.23,68.3,68.42,21009531
411,8/26/2015,69.9,71,68.95,70.9,17427493
412,8/27/2015,71.4,71.75,70.02,71.48,12984476
413,8/28/2015,71.17,71.27,70.59,71.21,10010984
414,8/31/2015,71,71,70.3,70.67,9478795
415,9/1/2015,69.37,69.88,68.52,68.9,15317338
416,9/2/2015,69.65,69.85,69.22,69.81,8877884
417,9/3/2015,70.18,70.46,69.7,69.93,8189897
418,9/4/2015,69.28,69.28,68.5,68.76,11476316
419,9/8/2015,70.31,70.44,69.56,69.98,9151792
420,9/9/2015,70.44,70.54,68.37,68.48,10978618
421,9/10/2015,68.12,68.95,67.75,68.32,12526904
422,9/11/2015,68.06,68.51,67.73,68.42,10655108
423,9/14/2015,68.23,68.3,67.33,68.06,9670868
424,9/15/2015,68.02,69.74,67.9,69.45,11015057
425,9/16/2015,70.12,70.36,69.7,70.1,8694102
426,9/17/2015,70,71.27,69.86,70.24,10878730
427,9/18/2015,69.44,70.78,69.37,69.94,18140465
428,9/21/2015,70.15,70.88,70.01,70.65,7702409
429,9/22/2015,70.06,70.65,69.98,70.19,10159906
430,9/23/2015,70.18,70.49,69.96,70.26,5574443
431,9/24/2015,69.82,71.58,69.74,71.36,13323168
432,9/25/2015,72.39,73.38,71.95,72.67,15044775
433,9/28/2015,72.31,72.67,71.75,71.77,9180311
434,9/29/2015,71.77,72.41,71.35,72.28,8978285
435,9/30/2015,72.86,73.06,71.55,71.94,10888602
436,10/1/2015,71.76,72.18,71.4,71.95,8539089
437,10/2/2015,71.36,72.42,71.29,72.42,9049125
438,10/5/2015,72.97,73.43,72.5,73.22,9036600
439,10/6/2015,73.34,73.78,72.59,73.4,8776405
440,10/7/2015,73.72,73.87,73.32,73.72,8020239
441,10/8/2015,73.68,74.44,73.49,74.4,6850789
442,10/9/2015,74.59,74.91,74.32,74.48,6851810
443,10/12/2015,74.69,74.76,73.91,74.33,6246367
444,10/13/2015,74.24,74.28,73.66,74.11,7761199
445,10/14/2015,74.21,74.61,73.9,74.21,8303081
446,10/15/2015,74.64,74.84,74.03,74.27,8597628
447,10/16/2015,74.72,75.04,74.34,74.9,8960674
448,10/19/2015,74.65,75.19,74.53,75.16,7281819
449,10/20/2015,74.87,75.05,74.16,74.43,8528045
450,10/21/2015,73.75,74.54,73.5,73.59,8302066
451,10/22/2015,73.86,75.61,73.61,74.85,13981462
452,10/23/2015,76.76,78.45,76.31,77.03,16352180
453,10/26/2015,77,77.9,77,77.49,11454229
454,10/27/2015,77.12,77.36,76.8,77.29,9400590
455,10/28/2015,77.39,77.54,75.69,76.51,10160058
456,10/29/2015,76.75,77.19,76.24,77.02,8214643
457,10/30/2015,76.98,77.14,76.38,76.38,9504175
458,11/2/2015,76.57,76.77,76.05,76.6,7139176
459,11/3/2015,76.3,77.42,75.96,77.05,8002139
460,11/4/2015,77.03,77.14,76.51,77.06,6375743
461,11/5/2015,77.09,77.26,75.96,76.39,6808386
462,11/6/2015,75.88,76,74.7,75.57,9471605
463,11/9/2015,75.19,75.63,74.93,75.4,8599966
464,11/10/2015,75.38,76.24,75.23,75.77,6547926
465,11/11/2015,76.02,76.43,75.92,75.96,5291207
466,11/12/2015,75.67,76.01,74.66,74.66,7558483
467,11/13/2015,74.64,74.98,73.95,73.96,8426992
468,11/16/2015,74.25,75.32,74.01,75.3,7390248
469,11/17/2015,75.33,76.01,74.87,75.07,8750322
470,11/18/2015,74.98,75.96,74.81,75.9,6332167
471,11/19/2015,76.14,76.96,76.02,76.22,7776293
472,11/20/2015,76.55,76.86,75.68,75.82,9337721
473,11/23/2015,75.82,76.06,75.4,75.97,9368762
474,11/24/2015,75.62,76.69,75.61,76.45,7070704
475,11/25/2015,76.53,76.74,75.88,75.9,4266529
476,11/27/2015,75.89,76.37,75.5,75.7,2390080
477,11/30/2015,75.58,75.81,74.84,74.84,8478175
478,12/1/2015,74.87,76.22,74.87,75.94,8375751
479,12/2/2015,75.73,76.46,75.65,75.79,8101131
480,12/3/2015,75.83,76.2,75.17,75.74,11178640
481,12/4/2015,75.98,77.9,75.92,77.83,11960991
